Participant;Age;Gender;Security_number;Security;Secure;Preoccupied;Dismissing;Fearful;Noticing;NotDistracting;NotWorrying;AttentionRegulation;EmotionalAwareness;SelfRegulation;BodyListening;Trusting
77;24,7830253251198;1;1;1;5,5;-4;,5;-4;4;2,33333333333333;3,66666666666667;2,71428571428571;3,6;3,5;2,33333333333333;4,33333333333333
78;21,6235455167693;2;1;1;4;0;-1;-2,5;3,75;2,66666666666667;3;4;3,6;2,75;2,66666666666667;4
80;21,6016427104723;2;1;1;4,5;1;2;-3;3,75;3,66666666666667;2,66666666666667;3,71428571428571;4,2;3,5;4,33333333333333;2,66666666666667
85;23,0444900752909;1;1;1;4;-1;0;-1;1,25;1,66666666666667;3,66666666666667;2;1,8;2,25;,666666666666667;4,66666666666667
86;21,8398357289528;1;1;1;3;,5;-1;-2,5;3;3;2,33333333333333;2,71428571428571;3;2;3,33333333333333;3
87;26,1464750171116;1;1;1;3;2,5;,5;-1,5;3,75;1,33333333333333;3;1,71428571428571;3,6;1,5;,666666666666667;2,66666666666667
89;30,8473648186174;1;1;1;2,5;-,5;,5;-2;4;2,66666666666667;1,33333333333333;3;3,6;1,75;2;4
90;23,6002737850787;1;1;1;5;,5;3,5;-3,5;4;1,66666666666667;4,33333333333333;4,14285714285714;3,8;4,25;4,33333333333333;4,66666666666667
95;24,6297056810404;2;1;1;4;1,5;1,5;-3;3,75;2,33333333333333;4;4;3,4;4,25;2,66666666666667;4,33333333333333
96;26,7542778918549;1;1;1;4,5;-,5;3;-2,5;3,25;1,66666666666667;2;4,28571428571429;3;3,25;3;4,66666666666667
97;24,2737850787132;2;1;1;3,5;-1,5;0;-1,5;3;3;1,66666666666667;3,42857142857143;2,8;3,75;2,66666666666667;2,66666666666667
98;25,6043805612594;1;1;1;5,5;3,5;-,5;-3;3,25;2,33333333333333;3;3;3;2,5;2,33333333333333;4,33333333333333
99;26,5626283367556;2;1;1;3;,5;,5;-2,5;3,25;3,66666666666667;2;3;4,2;1,5;4,33333333333333;3,66666666666667
20;28,4243668720055;2;2;0;0;1;1;1,5;3,5;1;3;3;3,6;2,5;2,66666666666667;3,33333333333333
59;26,403832991102;1;2;0;-2,5;4,5;2,5;4;3,25;1;3;2,28571428571429;3;2,75;2;3,66666666666667
5;24,6652977412731;1;3;0;2;-2;2;-1,5;3,5;3;4;3,42857142857143;4,2;2;2,33333333333333;2,66666666666667
7;24,621492128679;1;3;0;5,5;-3,5;4;-4,5;3,75;2,66666666666667;3,66666666666667;3,42857142857143;3,6;3,75;2;4
8;30,4750171115674;2;3;0;-2,5;-4;2,5;1;3;2;2,66666666666667;3,28571428571429;4;3;3,66666666666667;4
11;21,7987679671458;1;3;0;2,5;2,5;3;-1,5;3,75;,666666666666667;2;2,71428571428571;4,6;3,5;3,33333333333333;3,66666666666667
14;30,8966461327858;1;3;0;0;-,5;1,5;-,5;3,5;2,33333333333333;2;2,42857142857143;4;4;3,33333333333333;4
15;27,2908966461328;1;3;0;1;,5;2,5;1;4,25;,666666666666667;2,66666666666667;4,14285714285714;3,2;3,75;4;3,66666666666667
29;19,7371663244353;1;3;0;2;0;1,5;1;3,5;2,66666666666667;2,33333333333333;4;4,8;4,5;4;4,66666666666667
31;23,4579055441478;2;3;0;4;-6;3,5;-3,5;3,75;2,66666666666667;1,66666666666667;2,71428571428571;4;4;1,66666666666667;5
35;22,1464750171116;1;3;0;1,5;-3;3,5;2,5;3,25;1,66666666666667;3;2,57142857142857;3,8;3,75;2,33333333333333;4,66666666666667
44;26,6721423682409;1;3;0;2;-1;1,5;-3;1;2;2,33333333333333;1,28571428571429;1,6;3;1;3
51;34,6502395619439;1;3;0;-3;-2;1,5;1;1,5;2,33333333333333;3,33333333333333;2,14285714285714;3,2;2;1,33333333333333;1,33333333333333
53;30,3080082135524;1;3;0;-1;2;4;2,5;4;3,33333333333333;1,66666666666667;,857142857142857;2,2;2,5;0;2,66666666666667
61;21,7659137577002;1;3;0;3,5;-1;3,5;0;4,25;2;3,33333333333333;4;4;4;3,66666666666667;4,33333333333333
66;26,1382614647502;1;3;0;,5;-1;5;1,5;3;1;3;3,14285714285714;2,6;1,5;1;3
73;28,6762491444216;2;3;0;2,5;,5;2;0;2,75;2;3,33333333333333;2,57142857142857;4;3,5;3,33333333333333;3
74;26,2094455852156;2;3;0;1,5;-2;2;,5;3,5;2,33333333333333;3,66666666666667;3,28571428571429;4,4;4;3;5
76;25,782340862423;2;3;0;2;1,5;2,5;-1;3,5;2,33333333333333;3,66666666666667;4,42857142857143;2,8;2;2,33333333333333;3,33333333333333
82;22,8993839835729;1;3;0;-,5;0;4;0;3,25;1,66666666666667;,666666666666667;2,42857142857143;4;4,5;3,66666666666667;3,33333333333333
83;28,5968514715948;1;3;0;2;,5;1,5;-2,5;2,75;3;1,66666666666667;2;2,2;1,5;3;3,33333333333333
88;32,9856262833676;1;3;0;2,5;-1,5;2;-2;2,5;2;2,66666666666667;3,14285714285714;2,4;2,5;1;4
91;20,6269678302532;2;3;0;-,5;,5;3;-,5;3,25;1,33333333333333;3,33333333333333;3,28571428571429;3,2;3,5;1;3
92;26,7433264887064;1;3;0;,5;-2,5;2,5;-2;3,75;2,33333333333333;2,33333333333333;2,14285714285714;3,2;2,75;1,66666666666667;5
100;27,006160164271;1;3;0;4;-6;3;-2,5;3,75;2;2;2;3,8;2,75;2,66666666666667;3
1;24,3175906913073;1;4;0;2;4;,5;-2;3,75;1,33333333333333;3;2,71428571428571;2,8;3;1;3,66666666666667
3;22,3463381245722;2;4;0;3;5;-1;-3;3;4;2;2,14285714285714;3,4;2,25;,666666666666667;2
22;20,2765229295003;1;4;0;1,5;6;-1;4;2,5;1,33333333333333;,666666666666667;3,42857142857143;3,2;,75;,333333333333333;2
36;26,8911704312115;1;4;0;1;3,5;0;-,5;4,75;2;3;4,57142857142857;5;3;5;4,33333333333333
41;25,2867898699521;1;4;0;,5;3;-2;0;3,75;2,66666666666667;1,66666666666667;2,57142857142857;4;2,25;1,66666666666667;2,33333333333333
43;30,0917180013689;1;4;0;0;6,5;,5;1,5;2,75;1,33333333333333;2,33333333333333;1,57142857142857;3,4;1,5;1,66666666666667;,666666666666667
48;26,9486652977413;1;4;0;-1;4;1,5;1;3,75;1;3;3,28571428571429;3,4;3,5;3,33333333333333;3,33333333333333
50;23,3429158110883;1;4;0;3;4;2;-1,5;3;1,33333333333333;3,33333333333333;2,57142857142857;3;3,75;2,66666666666667;4
63;21,0458590006845;2;4;0;1;2,5;0;-,5;3;3;2,66666666666667;2,57142857142857;2,8;3,5;1,33333333333333;4
72;19,1895961670089;2;4;0;3;7;1;-,5;4,25;2,66666666666667;,333333333333333;3,71428571428571;3,8;2;3,33333333333333;4
75;18,8829568788501;1;4;0;1,5;2,5;,5;-2;3,25;2,33333333333333;1,66666666666667;3,14285714285714;3,8;2,25;2,66666666666667;4
79;19,0390143737166;2;4;0;1,5;2,5;1;-1,5;2,75;2,66666666666667;2,33333333333333;3,57142857142857;3;2,75;1,33333333333333;3
81;20,9007529089665;1;4;0;3;4;2;-2,5;4,5;2,33333333333333;3;2,42857142857143;4,6;2,75;3,33333333333333;3,33333333333333
84;20,331279945243;1;4;0;2;4;-1,5;2,5;3,75;3;,666666666666667;3,85714285714286;3,8;2,5;4,33333333333333;2,66666666666667
93;23,8466803559206;2;4;0;1,5;3,5;-1;-3;3,75;2,33333333333333;3,66666666666667;3,71428571428571;2,8;3,25;1,33333333333333;2,66666666666667
94;32,9089664613279;1;4;0;1,5;2,5;-2;0;3;2,33333333333333;2,33333333333333;3,14285714285714;4,4;3,25;2,66666666666667;3
12;24,6680355920602;1;5;2;3,5;-4;2,5;-3;4,25;1,33333333333333;4;4,57142857142857;3,8;3,25;1,33333333333333;3,33333333333333
23;21,4072553045859;1;5;2;3,5;3,5;-2,5;-2;3;2;4;2,85714285714286;3;3,25;2,33333333333333;3,33333333333333
